language	concept	value
Lahu Shi	ear	nA31 pɔ55 tɕhi33
Lahu Na	ear	naf paw
Zaozou	ear	na 44 se 33 phɔ 42
Jinuo	ear	na kho
Naxi	ear	xe33 tsɯ31
Zaiwa	ear	no` 21 phjo 21
Mandarin	early	zao3
Nasu	early	ʂo, 33
Lisu	early	nɛ 42 nɛ 42
Baihong	early	na31
Hani	early	aoq soq
Nosu	early	shedex
Samei	early	ne
Nisu	early	ni_ɛ_ 21
Biyue	early	na31
Kucong	early	na
Nusu	early	na
Jinghpo	early	jau
Lahu Shi	early	ti33 nA31
Lahu Na	early	nar
Zaozou	early	mia 44
Jinuo	early	ji na
Naxi	early	tʂɔ
Zaiwa	early	no? 21
Mandarin	earth1	di4
Nasu	earth1	mi 21
Lisu	earth1	mi 44 nɛ 44
Baihong	earth1	mi55 tsa55
Hani	earth1	mil caq (di, tudi)/hal caq (tu)
Nosu	earth1	-
Samei	earth1	mi/mi tɕi
Nisu	earth1	mi 55
Biyue	earth1	mi55 tso31
Kucong	earth1	mi qa
Nusu	earth1	mi diɛ; ljɔ
Jinghpo	earth1	ga; ga
Lahu Shi	earth1	mi31 kA31
Lahu Na	earth1	mil (= di)/jer (=tu)/hie (=tudi)
Zaozou	earth1	na 55 ma 35 pæ~ 33
Jinuo	earth1	mi tsha
Naxi	earth1	ndy31
Zaiwa	earth1	mji 21 kuŋ 51
Mandarin	earth2	tu di24
Nasu	earth2	mi 33
Lisu	earth2	mɯ 33 nɛ 33
Baihong	earth2	-
Hani	earth2	-
Nosu	earth2	-
Samei	earth2	-
Nisu	earth2	mi 55
Biyue	earth2	mi55 tso31
Kucong	earth2	-
Nusu	earth2	-
Jinghpo	earth2	-
Lahu Shi	earth2	mi31 kA 21
Lahu Na	earth2	-
Zaozou	earth2	ʑo 33
Jinuo	earth2	-
Naxi	earth2	-
Zaiwa	earth2	mau 21 mji 21
Mandarin	easy	rong yi24
Nasu	easy	lo, 21
Lisu	easy	sa 44 sa 35
Baihong	easy	ʒoŋ31 i55
Hani	easy	yal
Nosu	easy	ggapjjyx
Samei	easy	di se
Nisu	easy	ʂo 21
Biyue	easy	ja55 gi31
Kucong	easy	ɟә ça
Nusu	easy	wɔ
Jinghpo	easy	loi
Lahu Shi	easy	ti33 sA33
Lahu Na	easy	te shaq (= hao zuo)
Zaozou	easy	lou 33
Jinuo	easy	ji næ
Naxi	easy	la31 ʑә33 xɯ31
Zaiwa	easy	lui 21
Mandarin	eat	chi1
Nasu	eat	dzo 33
Lisu	eat	dza 31
Baihong	eat	dza31
Hani	eat	zaq
Nosu	eat	zze
Samei	eat	dzɔ
Nisu	eat	dʐo 33
Biyue	eat	dzɔ31
Kucong	eat	ɟa
Nusu	eat	dzwɔ
Jinghpo	eat	sha
Lahu Shi	eat	tsA53
Lahu Na	eat	cad
Zaozou	eat	tso 31
Jinuo	eat	tsa
Naxi	eat	ndzɯ33
Zaiwa	eat	tso_ 21
Mandarin	egg	(ji) dan14
Nasu	egg	ʈho_ 21
Lisu	egg	e 55 fu 44
Baihong	egg	a55 v.31
Hani	egg	ha wuv
Nosu	egg	qip (= dan4)
Samei	egg	ʑi fɯ
Nisu	egg	fu 21
Biyue	egg	ja33 v.33
Kucong	egg	u
Nusu	egg	ʐo ŋ
Jinghpo	egg	udi
Lahu Shi	egg	u~33
Lahu Na	egg	u
Zaozou	egg	tɯ 55 vu 35
Jinuo	egg	ja wu
Naxi	egg	kv.33
Zaiwa	egg	a 21 u 55
Mandarin	eight	ba1
Nasu	eight	hi_ 55
Lisu	eight	he 42
Baihong	eight	ɕe31
Hani	eight	xeivq
Nosu	eight	hxit
Samei	eight	xe
Nisu	eight	xi_ 21
Biyue	eight	xie31
Kucong	eight	xe
Nusu	eight	hja
Jinghpo	eight	matsat
Lahu Shi	eight	xi35
Lahu Na	eight	hiq
Zaozou	eight	ʑa 44
Jinuo	eight	he
Naxi	eight	xo55
Zaiwa	eight	ʃit 55
Mandarin	emerge	chu1
Nasu	emerge	-
Lisu	emerge	-
Baihong	emerge	dʊ31
Hani	emerge	duv
Nosu	emerge	bbit
Samei	emerge	do jɪ
Nisu	emerge	-
Biyue	emerge	-
Kucong	emerge	le
Nusu	emerge	twɔ
Jinghpo	emerge	pru
Lahu Shi	emerge	-
Lahu Na	emerge	tawt
Zaozou	emerge	-
Jinuo	emerge	tue
Naxi	emerge	bu dy
Zaiwa	emerge	-
Mandarin	enter	jin4
Nasu	enter	khɯ 21 le 33
Lisu	enter	du 31 la 33
Baihong	enter	dɔ31
Hani	enter	tao
Nosu	enter	-
Samei	enter	dɤ; dɤ ʑi
Nisu	enter	gɯ 33 liɛ 33
Biyue	enter	o55 la55
Kucong	enter	lu
Nusu	enter	khu kha (= jin/jinlai = lo)
Jinghpo	enter	shang
Lahu Shi	enter	lo 21 lA33
Lahu Na	enter	lor e
Zaozou	enter	ʔo~ 33 le 35
Jinuo	enter	oe
Naxi	enter	-
Zaiwa	enter	vaŋ 51
Mandarin	evening	wan shang34
Nasu	evening	-
Lisu	evening	-
Baihong	evening	ɤ55 gi55
Hani	evening	aoq qivq pyu
Nosu	evening	ketmop
Samei	evening	ma khә
Nisu	evening	-
Biyue	evening	-
Kucong	evening	mɔ xa
Nusu	evening	swa na
Jinghpo	evening	shana
Lahu Shi	evening	-
Lahu Na	evening	mud pheor
Zaozou	evening	-
Jinuo	evening	-
Naxi	evening	mɔ khʊ
Zaiwa	evening	-
Mandarin	extinguish	mie4
Nasu	extinguish	si_ 55
Lisu	extinguish	se 31
Baihong	extinguish	me31
Hani	extinguish	sil
Nosu	extinguish	sy
Samei	extinguish	di ɕi
Nisu	extinguish	sɨ_ 21
Biyue	extinguish	dɤ33 ʃɨ55
Kucong	extinguish	çәr (çɚ?)
Nusu	extinguish	sa
Jinghpo	extinguish	krip sat
Lahu Shi	extinguish	A31 kA35 ni35 po31
Lahu Na	extinguish	shif be*
Zaozou	extinguish	ɕi 55
Jinuo	extinguish	mɯ mi (mi = fire)
Naxi	extinguish	khә55
Zaiwa	extinguish	tʃo_m 21
Mandarin	eye	yan jing30
Nasu	eye	na_ 21 du 33
Lisu	eye	mia 44 sɯ 31
Baihong	eye	ma31 nɯ31?
Hani	eye	miav
Nosu	eye	nyuozzyp
Samei	eye	ne sa
Nisu	eye	ni_ɛ_ 33 du 33
Biyue	eye	ma33 dʒɨ33
Kucong	eye	mi
Nusu	eye	ma dʐɨ
Jinghpo	eye	myi
Lahu Shi	eye	mɛ54 qhA55
Lahu Na	eye	miet shif
Zaozou	eye	mio 42 tɕi 35
Jinuo	eye	mja tsɨ
Naxi	eye	miә31
Zaiwa	eye	mjo? 21 tʃi 55
Mandarin	fall	luo4
Nasu	fall	-
Lisu	fall	-
Baihong	fall	ka55 tɕɛ31 (ga dʒe?)
Hani	fall	ya
Nosu	fall	ci
Samei	fall	gɔ tɕi
Nisu	fall	-
Biyue	fall	-
Kucong	fall	cɛ
Nusu	fall	dʐwɔ (dʐwa?)
Jinghpo	fall	run
Lahu Shi	fall	-
Lahu Na	fall	pil
Zaozou	fall	-
Jinuo	fall	to kɹa
Naxi	fall	(mә) ndʐwɔ (mә = down; xia)
Zaiwa	fall	-
Mandarin	far	yan3
Nasu	far	vi 33
Lisu	far	ɣɯ 31
Baihong	far	mo55
Hani	far	mol
Nosu	far	sho
Samei	far	gɔ vi
Nisu	far	vɤ 33
Biyue	far	mo55
Kucong	far	ɟjɛ v.
Nusu	far	we
Jinghpo	far	tsan
Lahu Shi	far	vɯ53
Lahu Na	far	veod
Zaozou	far	ve 31
Jinuo	far	a xә
Naxi	far	khɯ33 kho33
Zaiwa	far	ve 21
Mandarin	fart, to	fang pi44
Nasu	fart, to	pi_ 21
Lisu	fart, to	khi 31
Baihong	fart, to	do31 me55
Hani	fart, to	daoq kaoq
Nosu	fart, to	pypndip
Samei	fart, to	dɯ bә
Nisu	fart, to	bi 21
Biyue	fart, to	ji31 kɔ31
Kucong	fart, to	khe du
Nusu	fart, to	do pu; do dʐɨ
Jinghpo	fart, to	dangkang
Lahu Shi	fart, to	vi55
Lahu Na	fart, to	qhied qhaw
Zaozou	fart, to	tɕhi 31 yi 31
Jinuo	fart, to	to phu; to tʃɨ
Naxi	fart, to	tɕhәr33 khɯ
Zaiwa	fart, to	khji 21 pu_ 51
Mandarin	fast	kuai4
Nasu	fast	tɕɔ 33
Lisu	fast	mi 44
Baihong	fast	tsa55
Hani	fast	kol
Nosu	fast	nji
Samei	fast	jjo
Nisu	fast	tʂhuA 55
Biyue	fast	dza55
Kucong	fast	gɔ
Nusu	fast	tsa
Jinghpo	fast	chyang
Lahu Shi	fast	gɛ31
Lahu Na	fast	giel
Zaozou	fast	mia 44
Jinuo	fast	ve (~væ)
Naxi	fast	tshu31
Zaiwa	fast	la` 21 van 55
Mandarin	fat [of person]	pang4
Nasu	fat [of person]	tshu 33
Lisu	fat [of person]	tshɯ 44
Baihong	fat [of person]	tʃʊ55
Hani	fat [of person]	yocul
Nosu	fat [of person]	woxbu
Samei	fat [of person]	mu
Nisu	fat [of person]	phɤ 55
Biyue	fat [of person]	dzv.55
Kucong	fat [of person]	bæ (mbæ?)
Nusu	fat [of person]	ea (diph)
Jinghpo	fat [of person]	hpum
Lahu Shi	fat [of person]	E31dzAŋ53
Lahu Na	fat [of person]	chu
Zaozou	fat [of person]	pe~ 33
Jinuo	fat [of person]	pa
Naxi	fat [of person]	ka33 ndɯ31
Zaiwa	fat [of person]	mjum 51
Mandarin	fat [of meat]	fei rou24
Nasu	fat [of meat]	xo 33 tshu 33
Lisu	fat [of meat]	xua 31 tshɯ 44
Baihong	fat [of meat]	tsu (tʃu?)55
Hani	fat [of meat]	saqcul
Nosu	fat [of meat]	cu
Samei	fat [of meat]	ha sɨ mɔ
Nisu	fat [of meat]	xo 33 tʂhu 55
Biyue	fat [of meat]	o31 dzv.55
Kucong	fat [of meat]	ça cu
Nusu	fat [of meat]	ʂo tsu
Jinghpo	fat [of meat]	hpum
Lahu Shi	fat [of meat]	sA11 tshu33
Lahu Na	fat [of meat]	shaf chu
Zaozou	fat [of meat]	xo 31 tshu 33
Jinuo	fat [of meat]	a tshɨ
Naxi	fat [of meat]	ʂɯ33 ma31
Zaiwa	fat [of meat]	ʃo 21 tshu 51
Mandarin	father	ba ba40
Nasu	father	a 55 de 33
Lisu	father	a 31 ba 31
Baihong	father	a31 da55
Hani	father	aq da
Nosu	father	-
Samei	father	a ba
Nisu	father	A 55 bA 33
Biyue	father	a55 ba31
Kucong	father	a ba
Nusu	father	o ba
Jinghpo	father	wa
Lahu Shi	father	A33 tɛ33
Lahu Na	father	a pa
Zaozou	father	pɔ 35 ʑa 55
Jinuo	father	a pʊ
Naxi	father	-
Zaiwa	father	a 55 nu 21
Mandarin	fear, to	hai pa44
Nasu	fear, to	jo_ 21
Lisu	fear, to	dʒo 44
Baihong	fear, to	gʊ55
Hani	fear, to	guv
Nosu	fear, to	jjurhla
Samei	fear, to	go
Nisu	fear, to	dʐu_ 33
Biyue	fear, to	ki33
Kucong	fear, to	ɟɛ gɯ
Nusu	fear, to	dʑy (dʐʊ?)
Jinghpo	fear, to	hkrit
Lahu Shi	fear, to	kɔ54
Lahu Na	fear, to	kawt
Zaozou	fear, to	ka 42
Jinuo	fear, to	khɯ
Naxi	fear, to	ʐәr33
Zaiwa	fear, to	kjuʔ 21
Mandarin	feather	yu mao32
Nasu	feather	-
Lisu	feather	-
Baihong	feather	tsa55 xu55
Hani	feather	zil hao
Nosu	feather	ddurnditnyie
Samei	feather	u mәr
Nisu	feather	-
Biyue	feather	-
Kucong	feather	ɣɔ mɔ (= ji mao)
Nusu	feather	hmi
Jinghpo	feather	u mun
Lahu Shi	feather	-
Lahu Na	feather	awl mu
Zaozou	feather	-
Jinuo	feather	a mɯ
Naxi	feather	fv.
Zaiwa	feather	-
Mandarin	few	shao3
Nasu	few	nɚ 33
Lisu	few	ne 55
Baihong	few	a55 dzɨ55
Hani	few	al huvq naoq
Nosu	few	ixnyi
Samei	few	ɲi
Nisu	few	ʂA 21
Biyue	few	sau31
Kucong	few	ji ʝa
Nusu	few	ja
Jinghpo	few	n lo
Lahu Shi	few	mA53 mA53
Lahu Na	few	mad mad
Zaozou	few	ɲo 33
Jinuo	few	ji
Naxi	few	nɯ33
Zaiwa	few	ni? 55
Mandarin	field	tian2
Nasu	field	to, 33 mi 33
Lisu	field	pu 55 ʃo 55 mi 33
Baihong	field	de ma3155
Hani	field	xaldei
Nosu	field	chemu
Samei	field	mi
Nisu	field	tE 55 mi 55
Biyue	field	ɣɤ55 ja55
Kucong	field	di mi
Nusu	field	dә
Jinghpo	field	hkauna
Lahu Shi	field	ti33 mi33
Lahu Na	field	ti mi
Zaozou	field	ɣæ 33 ʑo 33
Jinuo	field	te
Naxi	field	lɯ33
Zaiwa	field	jo 51
Mandarin	finger	shou zhi33
Nasu	finger	la_ 55 tʂɨ 33
Lisu	finger	lɛ 31 ɲi 44
Baihong	finger	la31 ny55
Hani	finger	lavqnyul
Nosu	finger	lotjy
Samei	finger	le ny (nә?)
Nisu	finger	li_ɛ_ 21 tʂɨ 55
Biyue	finger	la31 ɲi55
Kucong	finger	la ɲɔ
Nusu	finger	lo hnɯ
Jinghpo	finger	ta layung
Lahu Shi	finger	lA31 nɔ33
Lahu Na	finger	lar naw
Zaozou	finger	lou 42 na 33
Jinuo	finger	la ny
Naxi	finger	la31 ɲu
Zaiwa	finger	lo? 21 ŋju_i 21
Mandarin	fire	huo3
Nasu	fire	mo 33 to_ 55
Lisu	fire	a 55 to 55
Baihong	fire	a55 dza31
Hani	fire	miqzaq
Nosu	fire	mupdut
Samei	fire	a dɔ
Nisu	fire	mE 33 tu_ 21
Biyue	fire	mi31 dzɔ31
Kucong	fire	mi
Nusu	fire	mi dɔ
Jinghpo	fire	wan
Lahu Shi	fire	A31 mi31
Lahu Na	fire	al mif
Zaozou	fire	mi 31 ɣa 44
Jinuo	fire	mi
Naxi	fire	mi33
Zaiwa	fire	mji 21
Mandarin	fish	yu2
Nasu	fish	ŋo 33
Lisu	fish	ŋua 55
Baihong	fish	ŋa55 sa55
Hani	fish	ngaqdeil
Nosu	fish	hxe
Samei	fish	a
Nisu	fish	ŋo 33
Biyue	fish	ŋɔ31 sɔ31
Kucong	fish	ŋɔ
Nusu	fish	ŋwo ɕjo
Jinghpo	fish	nga
Lahu Shi	fish	ŋA53
Lahu Na	fish	ngad
Zaozou	fish	ŋo 31 ko~ 55
Jinuo	fish	ŋɔ ʃɔ
Naxi	fish	ɲi33 dzɛ
Zaiwa	fish	ŋo` 21 tso 21
Mandarin	five	wu3
Nasu	five	ŋo 33
Lisu	five	ŋua 31
Baihong	five	ŋa55?
Hani	five	ngavq
Nosu	five	nge
Samei	five	ŋɔ
Nisu	five	ŋo 33
Biyue	five	ŋo31
Kucong	five	ŋɔ
Nusu	five	ŋwɔ
Jinghpo	five	manga
Lahu Shi	five	ŋA53
Lahu Na	five	ngad
Zaozou	five	ŋo 31
Jinuo	five	ŋo
Naxi	five	ua33
Zaiwa	five	ŋo 21
Mandarin	fix	xiu li13
Nasu	fix	ŋghu 21
Lisu	fix	ʃa 35
Baihong	fix	dzɤ31 mɯ31
Hani	fix	duvq
Nosu	fix	ddiehmox
Samei	fix	-
Nisu	fix	gu 21 pu_ 33
Biyue	fix	pa55 di55
Kucong	fix	ʝә
Nusu	fix	ɕwa
Jinghpo	fix	gram
Lahu Shi	fix	vu33 ti33
Lahu Na	fix	gu te
Zaozou	fix	sou 35 tæ 35
Jinuo	fix	va
Naxi	fix	le ma55 ma55
Zaiwa	fix	sai 55
Mandarin	flat	ping2
Nasu	flat	dɔ 21
Lisu	flat	di 44
Baihong	flat	de31
Hani	flat	dei
Nosu	flat	njo
Samei	flat	du
Nisu	flat	phi 21
Biyue	flat	dʒe33 gv.31
Kucong	flat	a de
Nusu	flat	gja
Jinghpo	flat	ra
Lahu Shi	flat	phiŋ31 tA35
Lahu Na	flat	tawl (= ping)
Zaozou	flat	tɕa~ 31
Jinuo	flat	a ki
Naxi	flat	ndy
Zaiwa	flat	ʒa 55
Mandarin	flavor	wei4 dao0
Nasu	flavor	-
Lisu	flavor	-
Baihong	flavor	-
Hani	flavor	keelmil
Nosu	flavor	nyi
Samei	flavor	u bi
Nisu	flavor	-
Biyue	flavor	-
Kucong	flavor	ɟɛ nu
Nusu	flavor	ja ha
Jinghpo	flavor	namta
Lahu Shi	flavor	-
Lahu Na	flavor	awl pie*
Zaozou	flavor	-
Jinuo	flavor	a mi
Naxi	flavor	ndza ji (= weidao??)
Zaiwa	flavor	-
Mandarin	flee	tao pao23
Nasu	flee	phɔ 21
Lisu	flee	khe 35 ge 33
Baihong	flee	ge31
Hani	flee	hyuqxeiv
Nosu	flee	pobbo
Samei	flee	sa gɔ
Nisu	flee	phA 21
Biyue	flee	dze31 pi31
Kucong	flee	qho ji
Nusu	flee	tsa (tsɔ?)
Jinghpo	flee	hprong
Lahu Shi	flee	to33 tɕi35
Lahu Na	flee	phaw qie*
Zaozou	flee	ta 55
Jinuo	flee	khy tshɒ
Naxi	flee	phu31
Zaiwa	flee	phaŋ 51
Mandarin	float	pyao liu12
Nasu	float	bu 21
Lisu	float	bu 33
Baihong	float	bv.55
Hani	float	bul hha
Nosu	float	totbbu
Samei	float	-
Nisu	float	bu 21
Biyue	float	lian33
Kucong	float	ɟɛ da
Nusu	float	xiɛ
Jinghpo	float	wo ganong
Lahu Shi	float	phiAo55
Lahu Na	float	fud chi*
Zaozou	float	lyi 55
Jinuo	float	hәj jɛ nә
Naxi	float	a nda31
Zaiwa	float	mju 21 pjom 21
Mandarin	flow	liu2
Nasu	flow	ʑɯ 21
Lisu	flow	ʒɨ 33
Baihong	flow	ʐɨ (ʐ.)55
Hani	flow	-
Nosu	flow	-
Samei	flow	ʑi
Nisu	flow	ʂɤ 33
Biyue	flow	ji55
Kucong	flow	ʝo
Nusu	flow	ljɛ (= come); kwo (= zou)
Jinghpo	flow	lui
Lahu Shi	flow	qhA33
Lahu Na	flow	-
Zaozou	flow	le 35
Jinuo	flow	i
Naxi	flow	-
Zaiwa	flow	jui 51
Mandarin	flower	hua1
Nasu	flower	vi_ 21
Lisu	flower	e 55 ve 44
Baihong	flower	a31 je (ʒe?)55
Hani	flower	al yeiv
Nosu	flower	vur
Samei	flower	vi ljo
Nisu	flower	vi_ 33
Biyue	flower	a31 ji33
Kucong	flower	çә we
Nusu	flower	si wA?
Jinghpo	flower	pu
Lahu Shi	flower	sɨ54 vi54
Lahu Na	flower	siq vet
Zaozou	flower	sæ 42 va 42
Jinuo	flower	a po (pe?)
Naxi	flower	mba31
Zaiwa	flower	pan 21
Mandarin	fly (n)	cang ying10
Nasu	fly (n)	hɔ 21 mu 33
Lisu	fly (n)	o 55 pu 55
Baihong	fly (n)	xa55 sa55 la55 mo55
Hani	fly (n)	al mol
Nosu	fly (n)	yoxmu
Samei	fly (n)	zy mә
Nisu	fly (n)	xA 21 mu 33
Biyue	fly (n)	ja55 pv.31
Kucong	fly (n)	bɯ
Nusu	fly (n)	bra
Jinghpo	fly (n)	machyi
Lahu Shi	fly (n)	pɤ35
Lahu Na	fly (n)	peuq ma* pv.*
Zaozou	fly (n)	tɕyi~ 44 o~ 33
Jinuo	fly (n)	xjɔ mɯ
Naxi	fly (n)	mbәr31 lәr55
Zaiwa	fly (n)	jaŋ 51 khuŋ 21
Mandarin	fly (v)	fei1
Nasu	fly (v)	ɖe 21
Lisu	fly (v)	bi 33
Baihong	fly (v)	bɯ55
Hani	fly (v)	biaol
Nosu	fly (v)	jji
Samei	fly (v)	lɯ
Nisu	fly (v)	diɛ 21
Biyue	fly (v)	bi55
Kucong	fly (v)	bu
Nusu	fly (v)	lja
Jinghpo	fly (v)	pyen
Lahu Shi	fly (v)	pu31 qAi33
Lahu Na	fly (v)	pol
Zaozou	fly (v)	piɔ 33
Jinuo	fly (v)	pɹe
Naxi	fly (v)	mbi31
Zaiwa	fly (v)	taŋ 21
Mandarin	fog	wu4
Nasu	fog	ɲi_ 55 ʑo_ 33
Lisu	fog	mu 44 ku 55
Baihong	fog	dʒɨ55 xo31
Hani	fog	joqhyuqlaqmee
Nosu	fog	muhxuot
Samei	fog	-
Nisu	fog	A 55 nɯ 55
Biyue	fog	ɲe31 tɕ31
Kucong	fog	mɔ fi
Nusu	fog	pɯ we~j
Jinghpo	fog	saiwan
Lahu Shi	fog	mo31 fi54
Lahu Na	fog	mof yie*
Zaozou	fog	tɕiæ~ 55
Jinuo	fog	mɯ khy
Naxi	fog	tɕhi55 sɯ33
Zaiwa	fog	sai 55 von 21
Mandarin	foot	jiao3
Nasu	foot	tɕhi 33 pha_ 33
Lisu	foot	tʃhi 44 phɛ 35
Baihong	foot	a31 kɯ55
Hani	foot	aq keel
Nosu	foot	xy'pot
Samei	foot	khe be
Nisu	foot	tshɨ 21
Biyue	foot	o31 tɕi55
Kucong	foot	khɯ
Nusu	foot	tʂi (?)
Jinghpo	foot	lago
Lahu Shi	foot	khɯ55 ku53
Lahu Na	foot	kheu shie
Zaozou	foot	tɕhi 33 pho 42
Jinuo	foot	ʃɔ khi
Naxi	foot	khɯ33 dʐɚ
Zaiwa	foot	khji 51
Mandarin	forget	wang ji44
Nasu	forget	ma 21 tɕhɚ 33
Lisu	forget	me 33 le 44
Baihong	forget	ni (ɲi?)55 ba55
Hani	forget	nieilzaq
Nosu	forget	ap shut
Samei	forget	mi gɔ
Nisu	forget	mi 21 xo 21
Biyue	forget	mo55 ti55
Kucong	forget	lɯ fæ
Nusu	forget	hmi
Jinghpo	forget	malap
Lahu Shi	forget	mA53 nɔ53
Lahu Na	forget	leod
Zaozou	forget	mæ 13
Jinuo	forget	ɲʊ ja nә
Naxi	forget	lɛ mi55
Zaiwa	forget	to_ 51 mji_ 55
Mandarin	four	si4
Nasu	four	ɬi 33
Lisu	four	li 33
Baihong	four	y31
Hani	four	yuvq
Nosu	four	ly
Samei	four	ʂir
Nisu	four	ɬi 55
Biyue	four	li31
Kucong	four	u
Nusu	four	ʐyi
Jinghpo	four	mali
Lahu Shi	four	o~31
Lahu Na	four	awd
Zaozou	four	yi 31
Jinuo	four	li
Naxi	four	lu33
Zaiwa	four	mji 21
Mandarin	fragrant	xiang1
Nasu	fragrant	ɕɔ 33
Lisu	fragrant	ŋo 55 nu 33
Baihong	fragrant	sɔ55
Hani	fragrant	sol
Nosu	fragrant	nihxoxsa
Samei	fragrant	ɕu
Nisu	fragrant	ʂo 55
Biyue	fragrant	ɕa~33
Kucong	fragrant	a çɔ nu
Nusu	fragrant	ɕja~
Jinghpo	fragrant	manam ngon
Lahu Shi	fragrant	xɔ~35 nu31
Lahu Na	fragrant	hawq
Zaozou	fragrant	ɕa~ 31
Jinuo	fragrant	a thʃɨ
Naxi	fragrant	ɕa~
Zaiwa	fragrant	xom 55
Mandarin	friend	peng you20
Nasu	friend	tʂhɔ 55 ɣo, 21
Lisu	friend	kua 44 tʃho 31
Baihong	friend	jo31 tso31
Hani	friend	yolqoq
Nosu	friend	qopbop
Samei	friend	tso la
Nisu	friend	tʂhA 33 tʂhA 21
Biyue	friend	ma31 tʃv.31
Kucong	friend	a cjɔ
Nusu	friend	khi gja
Jinghpo	friend	manang
Lahu Shi	friend	ɔ31 tshɔ53
Lahu Na	friend	awl chawd
Zaozou	friend	xuæ 33 ʑa 44
Jinuo	friend	ma tshɒ
Naxi	friend	ndzu33
Zaiwa	friend	phji 21 tsum 55
Mandarin	frog	qing wa11
Nasu	frog	o 21 mɔ 55
Lisu	frog	o 55 pa 55
Baihong	frog	xa31 pa55
Hani	frog	haq paq
Nosu	frog	uoxba qihni
Samei	frog	hә
Nisu	frog	A 55 po 33
Biyue	frog	po31 ɲe33
Kucong	frog	ba
Nusu	frog	bo
Jinghpo	frog	shu
Lahu Shi	frog	pA31 tɛ35 nɛ54
Lahu Na	frog	paf ta* ne*
Zaozou	frog	po 44 ?ua 44
Jinuo	frog	phɔ the
Naxi	frog	pa33
Zaiwa	frog	po`_ 21 kje_k 55
Mandarin	fruit	shui guo33
Nasu	fruit	si_ 33 mo 33
Lisu	fruit	sɨ 35 sɯ 31
Baihong	fruit	a55 si31
Hani	fruit	al siq
Nosu	fruit	syrzza lurma
Samei	fruit	-
Nisu	fruit	sɨ_ 33 sE 33
Biyue	fruit	o31 sɨ31
Kucong	fruit	çә çi
Nusu	fruit	ʂwej gwɔ
Jinghpo	fruit	namsi
Lahu Shi	fruit	sɨ35 sɨ11
Lahu Na	fruit	iq shif
Zaozou	fruit	ɕi 31
Jinuo	fruit	a sɨ ki kɔ
Naxi	fruit	sa kv.33 sa ly33
Zaiwa	fruit	ʃi 21
Mandarin	full	man3
Nasu	full	ɖɚ 21
Lisu	full	bi 44 le 33
Baihong	full	boŋ55
Hani	full	biao nei
Nosu	full	jjip
Samei	full	li
Nisu	full	dE 21
Biyue	full	bɤ33
Kucong	full	bi
Nusu	full	brә
Jinghpo	full	hpring
Lahu Shi	full	bi54
Lahu Na	full	bid
Zaozou	full	pie~ 35
Jinuo	full	pɹɯ
Naxi	full	ʂәr55
Zaiwa	full	pjiŋ 55
Mandarin	fur	mao2
Nasu	fur	mu 21
Lisu	fur	e 55 mu 44
Baihong	fur	tsa31 xu55
Hani	fur	hao
Nosu	fur	nyie
Samei	fur	-
Nisu	fur	nu_ 33
Biyue	fur	o31 tɕi55
Kucong	fur	mɔ
Nusu	fur	hmi
Jinghpo	fur	mun
Lahu Shi	fur	mɔ33
Lahu Na	fur	awl mu
Zaozou	fur	tɯ 55 ma 35
Jinuo	fur	-
Naxi	fur	fv.33
Zaiwa	fur	ʃo` 21 mau 55
Mandarin	get up	qi chuang32
Nasu	get up	-
Lisu	get up	-
Baihong	get up	thɯ la (possibly mistaken for qilai not qichuang)
Hani	get up	yiuvqsul tul
Nosu	get up	itdep
Samei	get up	daɔr li
Nisu	get up	-
Biyue	get up	-
Kucong	get up	ʝi du
Nusu	get up	dp
Jinghpo	get up	yup rot
Lahu Shi	get up	-
Lahu Na	get up	rir tu
Zaozou	get up	-
Jinuo	get up	tɯ thɔ
Naxi	get up	gә dyr
Zaiwa	get up	-
Mandarin	girl	nü hai32
Nasu	girl	a 21 mo, 33 ɬa_ 55
Lisu	girl	za 31 mɯ 42 lɛ 55
Baihong	girl	ja31 mi31
Hani	girl	-
Nosu	girl	apmysse
Samei	girl	ʐɨ ma lɔ
Nisu	girl	A 21 mE 33 ɬi_ɛ_ 21
Biyue	girl	ɕo31 xɔ31 mo33
Kucong	girl	ʝa mi ma
Nusu	girl	mi ʐwɔ
Jinghpo	girl	-
Lahu Shi	girl	zA33 mi53 xA35
Lahu Na	girl	ca* mi*
Zaozou	girl	su 33 mi 35 zo 31
Jinuo	girl	khɒ mɒ zɒ kʊ
Naxi	girl	mi zy
Zaiwa	girl	tso` 21 mji 21
Mandarin	give	gei3
Nasu	give	je 55
Lisu	give	gɯ 31
Baihong	give	bi31
Hani	give	bivq
Nosu	give	bbyp
Samei	give	gә
Nisu	give	bi 21
Biyue	give	bi31
Kucong	give	bi
Nusu	give	bi
Jinghpo	give	ya
Lahu Shi	give	pe55 lA53
Lahu Na	give	pid
Zaozou	give	pi 35
Jinuo	give	pi
Naxi	give	ʑә55
Zaiwa	give	pji 21
Mandarin	give birth, to	sheng1
Nasu	give birth, to	bɔ 21
Lisu	give birth, to	he 33
Baihong	give birth, to	-
Hani	give birth, to	bo
Nosu	give birth, to	yur
Samei	give birth, to	-
Nisu	give birth, to	xE 21
Biyue	give birth, to	dzo55
Kucong	give birth, to	de le
Nusu	give birth, to	pa
Jinghpo	give birth, to	shangai
Lahu Shi	give birth, to	ɣA33
Lahu Na	give birth, to	ca* paw
